編號,建案名稱,樓地板面積坪,每坪月租金元,管理機關,房舍數量,建物用途,戶數
1,永春站交19,26.44 ~ 65.30,"4,858",捷運局,3,店鋪,3
2,永春站交21,161.08,"4,662",捷運局,1,店鋪,1
3,後山埤站交24,137.44 ~ 180.24,"2,918",捷運局,1,辦公室,1
4,後山埤站交25,18.33 ~ 103.56,"1,514 ~ 2,617",捷運局,3,店鋪,3
5,江子翠站捷1,108.24 ~ 114.48,924,捷運局,2,辦公室,2
6,台北車站交1,80.28 ~ 206.06,"1,166 ~ 5,051",捷運局,9,辦公室、一般零售業,9
7,大安站交6,82.29 ~ 805.67,"1,660 ~ 1,554",捷運局,5,辦公室,5
8,科技大樓站交7,200.85 ~ 368.96,"1,218 ~ 3,220",捷運局,4,辦公室,3
9,古亭站交14,31.04 ~ 94.82,"1,072 ~ 1,305",捷運局,4,辦公室,4
10,古亭站交15,117.75 ~ 17.9,"1,033 ~ 2,129",捷運局,5,辦公室,5
11,新店區公所站捷22,19.73 ~ 81.95,"711 ~ 1,054",捷運局,25,辦公室,25
12,七張站捷10、11,837.06 ~ 932.37,"662 ~ 1,236",捷運局,4,商場,4
13,景美交3,220.6,819,捷運局,1,辦公室,1
14,景美交4,148.78,"916 ~ 1,189",捷運局,3,辦公室,3
15,萬隆站交6、7,190.96 ~ 49.79,"1,382 ~ 2,507",捷運局,1,辦公室,1
16,公館站交11,27.66 ~ 458.56,"1,252 ~ 1,693",捷運局,27,辦公室,27
17,台電大樓站交13,36.26 ~ 77.65,"1,149 ~ 1,230",捷運局,4,辦公室,3
18,行天宮站捷5,71.18 ~ 306.83,"1,238 ~ 2,884",捷運局,12,辦公室,12
19,行天宮站捷7,121.74 ~ 129.96,"1,197 ~ 1,298",捷運局,4,辦公室,4
20,忠孝新生捷14,64.2 ~ 111.66,"1,503 ~ 1,752",捷運局,13,辦公室,12
21,東門站捷1,97.52,"1,706",捷運局,5,辦公室,5
22,頂溪站捷2,39.73 ~ 79.16,"754 ~ 1,054",捷運局,11,辦公室,11
23,頂溪站捷3,382.09 ~ 383.15,964,捷運局,2,商場,2
24,港墘站交9,215.08 ~ 835.37,"749 ~ 1,603",捷運局,3,商場,3
25,大安站捷3,101.13 ~ 140.91,"1,940 ~ 1,978",捷運局,5,辦公室,5
26,景安站捷5,50.36 ~ 702.75,526~ 720,捷運局,4,辦公室,4
27,南京復興站捷4,88.29 ~ 309.33,"2,147",捷運局,6,辦公室,6
28,淡水站,374.02 ~ 592.96,"939 ~ 1,339",捷運局,5,商場,4
29,行天宮站捷8,561.52,"2,004",捷運局,1,辦公室,1
30,蘆洲站,20.41 ~ 66.46,"1,146 ~ 1,640",捷運局,18,店鋪,14
31,南勢角站捷6,40.76 ~ 63.34,"1,380 ~ 781",捷運局,8,店鋪、辦公室,8
32,辛亥站交10,27.59~ 379.81,610-840,捷運局,6,辦公室,6
33,關渡站交40,29.11 ~ 30.37,"703 ~ 1,002",捷運局,24,辦公室,24
34,新店機廠-美河市,9.5 ~ 35.2,558 ~ 1350,捷運局,399,辦公室,396
35,忠孝復興站BR4,2036.38,"3,869",捷運局,1,商場,1
36,徐匯中學站,814.24,871,捷運局,2,商場,2
37,內湖站,1442.58,"2,264",捷運局,2,店鋪,2
38,龍山寺站交1,19~32,"961~1,025",捷運局,4,聯開住宅,4
39,"臺北橋站捷2",13.98~34.15,"805~1,231",捷運局,40,聯開住宅,50
40,新店站捷24、25、26、27,67.17~43.9,666~803,捷運局,11,聯開住宅,11
41,大坪林站捷8,10.59 ~ 30.83,736 ~ 937,捷運局,11,聯開住宅,11
42,大橋頭站,69.75~78.8,"791~1,053",捷運局,23,聯開住宅,18
43,中山站(捷1),31.51~337.06,"4,750~3,163",捷運局,2,店鋪,2
44,中山站(捷2),881.43,"1,694",捷運局,2,辦公室,1